aw_deep_link,product_name,merchant_category,search_price,category_name,aw_image_url
https://www.awin1.com/pclick.php?p=3451591295&a=305691&m=2606,adidas Mens Barricade Team 4 Tennis Shoes White/Core Black/Night Flash,Mens|Trainers|Sports Performance Footwear,41.95,Men's Footwear,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Aresources.mandmdirect.com%2FImages%2F_default%2Fa%2Fd%2F1%2Fad11190_1_large.jpg&feedId=2606&k=d3860c35899d973a95aa14ed1b0844449a4ce530
https://www.awin1.com/pclick.php?p=3451591313&a=305691&m=2606,adidas Mens Crazylight Boost Basketball Shoes Bright Gold/White/Black,Mens|Trainers|Hi-Tops,23.95,Men's Footwear,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Aresources.mandmdirect.com%2FImages%2F_default%2Fa%2Fd%2F1%2Fad11220_1_large.jpg&feedId=2606&k=26e2a36c5050447797410c3cd11e17b82c0a76b7
https://www.awin1.com/pclick.php?p=3450164999&a=305691&m=2606,adidas Mens Barricade 2015 Tennis Shoes White/Core Black/Red,Mens|Trainers|Sports Performance Footwear,59.95,Men's Footwear,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Aresources.mandmdirect.com%2FImages%2F_default%2Fa%2Fd%2F1%2Fad11230_1_large.jpg&feedId=2606&k=f5567b7a3179eba65f163abf77e890d85aa40450
https://www.awin1.com/pclick.php?p=3455145511&a=305691&m=2606,adidas Junior F5 FxG Football Boots Solar Green/Core Black/White,Boys;;Girls|Football Boots|Football Boots,11.95,Children's Footwear,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Aresources.mandmdirect.com%2FImages%2F_default%2Fa%2Fd%2F1%2Fad11541_1_large.jpg&feedId=2606&k=4929dfcddb6a2bd06df67b2f90cc2c90b9b1ac66
https://www.awin1.com/pclick.php?p=3455144921&a=305691&m=2606,adidas Junior F5 TF Astro Football Boots Solar Red/White/Core Black,Boys;;Girls|Football Boots|Football Boots,15.95,Children's Footwear,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Aresources.mandmdirect.com%2FImages%2F_default%2Fa%2Fd%2F1%2Fad11563_1_large.jpg&feedId=2606&k=9ed505e3d63b6d0857e2f37acfa28eb15ae12dab
https://www.awin1.com/pclick.php?p=3468225025&a=305691&m=2606,adidas Womens Adizero Boston Boost 5 Neutral Running Shoes Blue/White/Flash,Womens|Trainers|Running Shoes,29.95,Women's Footwear,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Aresources.mandmdirect.com%2FImages%2F_default%2Fa%2Fd%2F1%2Fad11665_1_large.jpg&feedId=2606&k=bd0d7146f9892d04d39474316ffb3c3ae622eda3
https://www.awin1.com/pclick.php?p=3468225087&a=305691&m=2606,adidas Mens Performance Water Bottle 0.5L Collegiate Navy/Solar Blue,Mens|Sports Accessories|Water Bottles,3.95,Women's Sportswear,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Aresources.mandmdirect.com%2FImages%2F_default%2Fa%2Fd%2F1%2Fad11788_1_large.jpg&feedId=2606&k=7733ad24a69555dfa10b38fb8efe5f3c7b3a8c26
https://www.awin1.com/pclick.php?p=3582635373&a=305691&m=2606,adidas Mens Reg Team 2.0 Woven Track Pants Solid Grey/Blue,Mens|Sports Performance Bottoms|Sports Performance Bottoms,8.95,Men's Sportswear,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Aresources.mandmdirect.com%2FImages%2F_default%2Fa%2Fd%2F1%2Fad11879_1_large.jpg&feedId=2606&k=4b8fdad7355582d2a94ce8aca5cf4d01c21a6e85
https://www.awin1.com/pclick.php?p=3604273393&a=305691&m=2606,adidas Womens Adizero GLD20 Compression Swimsuit Black/Solar Blue,Womens|Swimwear|Swimsuits,34.95,Women's Swimwear,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Aresources.mandmdirect.com%2FImages%2F_default%2Fa%2Fd%2F1%2Fad11899_1_large.jpg&feedId=2606&k=3758de1e56ff7f2037f8e52adbeee6a8d55e1936
https://www.awin1.com/pclick.php?p=3595542551&a=305691&m=2606,adidas Boys X Training Shoes Yellow/Black/Frozen Yellow,Boys|Trainers|Trainers,11.95,Children's Footwear,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Aresources.mandmdirect.com%2FImages%2F_default%2Fa%2Fd%2F1%2Fad12034_1_large.jpg&feedId=2606&k=eeffe5dba3c29c2c6463dc161aea54322abd6610
https://www.awin1.com/pclick.php?p=3590830281&a=305691&m=2606,adidas Womens Energy Boost ESM Neutral Running Shoes Night Flash/Silver/Flash Red,Womens|Trainers|Running Shoes,47.95,Women's Footwear,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Aresources.mandmdirect.com%2FImages%2F_default%2Fa%2Fd%2F1%2Fad12100_1_large.jpg&feedId=2606&k=83c13371e992c9819e22914b60ccb23210da2ee9
https://www.awin1.com/pclick.php?p=3590830307&a=305691&m=2606,adidas Mens Goletto V IN Indoor Trainers Core Black/White/Solar Blue,Mens|Football Boots|Football Boots,20.95,Men's Footwear,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Aresources.mandmdirect.com%2FImages%2F_default%2Fa%2Fd%2F1%2Fad12123_1_large.jpg&feedId=2606&k=fd873d672c4950d83ba1ff3efbbad1ba0dc2d691
https://www.awin1.com/pclick.php?p=3582635627&a=305691&m=2606,adidas Womens STELLASPORT Yvori Studio Training Shoes Solar Yellow/White,Womens|Trainers|Sports Performance Footwear,23.95,Women's Footwear,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Aresources.mandmdirect.com%2FImages%2F_default%2Fa%2Fd%2F1%2Fad12182_1_large.jpg&feedId=2606&k=fdf25b7cfc3ab159ae7023f5c63a9e8ed2c7ea37
