product_name,merchant_category,search_price,aw_image_url,merchant_deep_link,category_name
adidas Mens Condivo 14 3 Stripe ClimaCool Poly Training Pants Black/White,Mens|Sports Performance Bottoms|Sports Performance Bottoms,10.95,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Aresources.mandmdirect.com%2FImages%2F_default%2Fa%2Fd%2F1%2Fad12669_1_large.jpg&feedId=2606&k=3faca0ae9648500e5c94d029e6f6db1679ad510f,http://www.mandmdirect.ie/01/details/AD12669,Men's Sportswear
adidas Mens Adizero SprintWeb ClimaLite Long Running Tight Leggings Black,Mens|Sports Performance Bottoms|Sports Performance Bottoms,23.95,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Aresources.mandmdirect.com%2FImages%2F_default%2Fa%2Fd%2F1%2Fad12763_1_large.jpg&feedId=2606&k=440ac4a8746e152810f92ac1f592849819a31a52,http://www.mandmdirect.ie/01/details/AD12763,Men's Sportswear
adidas Mens Sequencials Climaheat Formotion Running Tight Leggings Black,Mens|Sports Performance Bottoms|Sports Performance Bottoms,20.95,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Aresources.mandmdirect.com%2FImages%2F_default%2Fa%2Fd%2F1%2Fad12766_1_large.jpg&feedId=2606&k=b5554840833aa25e561cb851b0ff30d500224e2f,http://www.mandmdirect.ie/01/details/AD12766,Men's Sportswear
adidas Mens Adizero 3 Stripe ClimaLite Running Track Pants Black,Mens|Sports Performance Bottoms|Sports Performance Bottoms,19.95,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Aresources.mandmdirect.com%2FImages%2F_default%2Fa%2Fd%2F1%2Fad12778_1_large.jpg&feedId=2606&k=75bb915504e181ddff4f73c8cc98e500c27a9ee9,http://www.mandmdirect.ie/01/details/AD12778,Men's Sportswear
adidas Mens 3 Stripe Team ClimaLite Poly Track Pants University Red/White,Mens|Sports Performance Bottoms|Sports Performance Bottoms,21.95,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Aresources.mandmdirect.com%2FImages%2F_default%2Fa%2Fd%2F1%2Fad13208_1_large.jpg&feedId=2606&k=1c6b20258cd959c4c63c4371168ccd6592e722d6,http://www.mandmdirect.ie/01/details/AD13208,Men's Sportswear
adidas Mens Supernova ClimaCool Running Tight Leggings Black,Mens|Sports Performance Bottoms|Sports Performance Bottoms,23.95,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Aresources.mandmdirect.com%2FImages%2F_default%2Fa%2Fd%2F1%2Fad13266_1_large.jpg&feedId=2606&k=27f4ca3e0f3613521df7f43bad37fc03baf08397,http://www.mandmdirect.ie/01/details/AD13266,Men's Sportswear
adidas Mens Supernova Graphic ClimaCool Running Tight Leggings Black,Mens|Sports Performance Bottoms|Sports Performance Bottoms,20.95,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Aresources.mandmdirect.com%2FImages%2F_default%2Fa%2Fd%2F1%2Fad13272_1_large.jpg&feedId=2606&k=89e6ecc36b3377d72c9de9feb2a81486c6ede295,http://www.mandmdirect.ie/01/details/AD13272,Men's Sportswear
adidas Mens Response 3 Stripe ClimaLite 3/4 Tight Leggings Black/Ray Blue,Mens|Sports Performance Bottoms|Sports Performance Bottoms,23.95,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Aresources.mandmdirect.com%2FImages%2F_default%2Fa%2Fd%2F1%2Fad13740_1_large.jpg&feedId=2606&k=1425e6d4d1e0811d223f250b5c3ce51591f20426,http://www.mandmdirect.ie/01/details/AD13740,Men's Sportswear
Reebok Mens Fury Adapt Trainers White/White/Black,Mens|Trainers|Running Shoes,53.95,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Aresources.mandmdirect.com%2FImages%2F_default%2Fr%2Fe%2F8%2Fre8363_1_large.jpg&feedId=2606&k=3532c12daed61eb9293177166b57767dd95de088,http://www.mandmdirect.ie/01/details/RE8363,Men's Footwear
Reebok Mens Centrefire RS Neutral Running Shoes Ash Grey/White/Black,Mens|Trainers|Running Shoes,35.95,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Aresources.mandmdirect.com%2FImages%2F_default%2Fr%2Fe%2F8%2Fre8368_1_large.jpg&feedId=2606&k=3d5103bd179f4db5c8522d21519bd5fdd0d77dce,http://www.mandmdirect.ie/01/details/RE8368,Men's Footwear
